% Occupied,% Reported,% Extremely Low Income,% Female Head,% in poverty (Census tract),% minority (Census tract),% Very Low Income,% with disability among Head Spouse Co-head aged 61 years or less,% with disability among Head Spouse Co-head aged 62 years or older,0-1 BedroomUnits,Active Subsidies,City,CountyID,Earliest Start Date,FHA Loan Sub Program Units,FHA Loan Units,FairMarketRent 2BR,GEOID (census dataset 201910121110.csv),GEOID (hud dataset 201910121111.csv),GEOID (nhpd dataset 201910121111.csv),Geoid,HOME Grants,HUD Property ID,Household income per year,Latitude,Longitude,Low Income Housing Tax Credit sub-program,Low Income Housing Tax Credit,Median Income HH,NHPD Property ID,Number of Records,Occupancy Rate,Owner Type,Percent of ELI Households,Property Address,Property Name,Property Status,Rent Burdened H Hs,Rural Rental Housing,Section 8 Housing Units,StateID,State,Subsidized units available,Supportive Housing Elderly,Target Tenant Type,Three Plus Bedroom Units,Total Units,Total Low Income H Hs,TractID,TractName,Two Bedroom Units,Zip
95,100,76,84,27,98,97,27,20,44,1,Lithonia,89,11/1/18,,,1180,13089023310,13089023310,13089023310,13089023310,,800064667,12580,33.7095789,-84.1411108,,,33879,1018509,1,100,Non-Profit,81,5480 Hillandale Dr,ALICE WILLIAMS TOWERS (SALEM BAPTIST CHURCH),Active,2600,,44,13,GA,336,,Elderly,0,45,2135,23310,Census Tract 233.10,0,30058-1861
95,100,83,83,12,94,93,28,-1,4,1,Lithonia,89,9/1/18,,,1390,13089023311,13089023311,13089023311,13089023311,,800004724,13131,33.7788055,-84.1200363,,,77065,1037925,1,,Non-Profit,,1116 Alford Rd,DEKALB MR HOMES II,Active,184,,4,13,GA,23,,Disabled,,4,178,23311,Census Tract 233.11,,30058-6094
94,100,80,98,19,98,97,16,63,84,1,Lithonia,89,1/1/15,,,1180,13089023313,13089023313,13089023313,13089023313,,,13771,33.7350853,-84.1246802,,84,47010,1104606,1,,,,2589 Stonekey Pl,PANOLA GARDENS SENIOR HOUSING,Active,390,,,13,GA,92,,,0,84,384,23313,Census Tract 233.13,0,30058-5695
94,100,80,96,15,96,96,28,50,4,1,Lithonia,89,8/1/18,,,1180,13089023314,13089023314,13089023314,13089023314,,800004723,13409,33.7416932,-84.1554622,,,51339,1037923,1,,Non-Profit,,1536 Saint Dunstans Rd,"DEKALB MR HOMES, INC                             ",Active,440,,4,13,GA,65,,Disabled,,4,307,23314,Census Tract 233.14,,30058-5632
93,100,74,91,9,97,93,19,80,,2,Lithonia,89,1/1/02,,262,1180,13089023316,13089023316,13089023316,13089023316,,800239537,15430,33.7769524,-84.0942151,,168,61860,1038546,1,,For Profit,,100 Leslie Oaks Dr,ALEXANDER OF STONECREST,Active,206,,,13,GA,74,,Family,,262,149,23316,Census Tract 233.16,,30058-6726
96,100,73,76,24,99,95,27,32,,1,Decatur,89,1/1/07,,,1060,13089023410,13089023410,13089023410,13089023410,,,13024,33.7083201,-84.274474,,208,30250,1038750,1,,For Profit,,3100 Lumby Dr,CREEKSIDE VISTA,Active,957,,,13,GA,166,,,,208,811,23410,Census Tract 234.10,,30034-1696
96,100,73,76,24,99,95,27,32,32,1,Decatur,89,1/1/03,,,1060,13089023410,13089023410,13089023410,13089023410,,,13024,33.7083201,-84.274474,,67,30250,1038734,1,,For Profit,,100 Dash Lewis Dr,MAGNOLIA CIRCLE,Active,957,,,13,GA,166,,,,84,811,23410,Census Tract 234.10,52,30034-1648
96,100,73,76,24,99,95,27,32,65,2,Decatur,89,3/17/08,,,1060,13089023410,13089023410,13089023410,13089023410,2,800222612,13024,33.7083201,-84.274474,,,30250,1009237,1,97,Non-Profit,79,3391 Flat Shoals Rd,ALLEGRE POINT SENIOR RESIDENCES,Active,957,,65,13,GA,166,,Elderly,0,67,811,23410,Census Tract 234.10,0,30034-1372
94,100,78,83,22,98,94,22,67,,1,Decatur,89,1/1/97,,,1060,13089023411,13089023411,13089023411,13089023411,,,12944,33.7014158,-84.2899992,,280,37479,1038742,1,,,,2435 Aylesbury Loop,THORNBERRY APARTMENTS,Active,601,,,13,GA,28,,,,280,459,23411,Census Tract 234.11,,30034-3721
95,100,84,91,13,97,97,36,73,,1,Decatur,89,1/1/01,,,1060,13089023412,13089023412,13089023412,13089023412,,,12389,33.7068578,-84.2432559,,161,47004,1038744,1,,For Profit,,2505 Columbia Dr,FOREST AT COLUMBIA,Active,426,,,13,GA,60,,,,161,354,23412,Census Tract 234.12,,30034-1781
95,100,84,91,13,97,97,36,73,60,1,Decatur,89,1/1/95,,,1060,13089023412,13089023412,13089023412,13089023412,,,12389,33.7068578,-84.2432559,,296,47004,1038296,1,,Non-Profit,,3002 Ember Dr,EAGLE'S NEST,Active,426,,,13,GA,60,,,70,296,354,23412,Census Tract 234.12,166,30034-1501
95,100,84,91,13,97,97,36,73,,1,Decatur,89,1/1/94,,,1060,13089023412,13089023412,13089023412,13089023412,,,12389,33.7068578,-84.2432559,,,47004,1038746,1,,,,3000 Ember Dr,CANDLER CROSSING,Active,426,,,13,GA,60,,,,296,354,23412,Census Tract 234.12,,30034-1506
93,100,76,86,12,97,91,32,82,,1,Decatur,89,1/1/04,,,1060,13089023414,13089023414,13089023414,13089023414,,,13447,33.6961644,-84.216611,,257,58316,1037962,1,,Multiple,,4103 Wesley Club Dr,WESLEY CLUB,Active,748,,,13,GA,99,,,105,257,573,23414,Census Tract 234.14,152,30034-2352
95,100,70,97,15,96,94,15,40,,1,Lithonia,89,1/1/02,,,1060,13089023418,13089023418,13089023418,13089023418,,,15195,33.6693041,-84.1234814,,100,48509,1037961,1,,For Profit,,100 Deer Creek Cir,GREENS AT STONECREEK,Active,2088,,,13,GA,160,,,69,100,1904,23418,Census Tract 234.18,69,30038-3334
98,100,68,87,12,98,96,11,6,36,2,ELLENWOOD,89,9/1/18,,,1120,13089023419,13089023419,13089023419,13089023419,,800211591,14806,33.6513314,-84.2293681,,,64205,1018491,1,100,Non-Profit,73,5205 RIVER RD,PROMISE PROJECT INC,Active,399,,36,13,GA,124,,Elderly,0,36,324,23419,Census Tract 234.19,0,30049
94,100,76,95,29,99,94,15,72,,1,Decatur,89,11/1/95,,,1060,13089023421,13089023421,13089023421,13089023421,,,13996,33.6850994,-84.2587867,,202,40399,1038758,1,,For Profit,,3800 Flat Shoals Pkwy,ORCHARD WALK APARTMENTS,Active,1364,,,13,GA,194,,,,202,1151,23421,Census Tract 234.21,,30034-4030
94,100,76,90,22,98,95,23,76,,1,Lithonia,89,1/1/09,,,1060,13089023428,13089023428,13089023428,13089023428,,,12687,33.6976522,-84.1484865,,349,39641,1039061,1,,,,5959 Fairington Rd,HILLS AT FAIRINGTON,Active,1688,,,13,GA,307,,,,349,1496,23428,Census Tract 234.28,,30038
94,100,82,86,25,96,97,42,86,,1,Decatur,89,1/1/01,,,970,13089023501,13089023501,13089023501,13089023501,,,11944,33.7350551,-84.2691203,,304,31591,1039035,1,,For Profit,,3529 Glenwood Rd,ROBINS LANDING,Active,684,,,13,GA,77,,,,304,619,23501,Census Tract 235.01,,30032
96,100,79,87,28,96,95,15,61,2,3,Decatur,89,1/1/07,,,970,13089023603,13089023603,13089023603,13089023603,10,,13267,33.7196978,-84.2852944,98,0,31125,1038052,1,,For Profit,,2145 Candler Rd,CANDLER FORREST,Active,657,,,13,GA,99,,,29,100,549,23603,Census Tract 236.03,69,30032-5574
96,100,79,87,28,96,95,15,61,0,1,Decatur,89,7/1/88,,,970,13089023603,13089023603,13089023603,13089023603,,,13267,33.7196978,-84.2852944,,0,31125,1038048,1,,For Profit,,2784 Kelly Lake Rd,WHISPERING PINES APARTMENTS,Active,657,,,13,GA,99,,,0,40,549,23603,Census Tract 236.03,0,30032-6420
96,100,74,87,22,89,93,21,55,,1,Decatur,89,12/20/99,,,1120,13089023700,13089023700,13089023700,13089023700,,,13003,33.7313084,-84.3183573,,,45077,1039092,1,97,Public Entity,52,18002 Anwar Trl,COLUMBIA VILLAGE,Active,1236,,,13,GA,471,,,,30,913,23700,Census Tract 237,,30032-7403
96,100,74,87,22,89,93,21,55,,1,Atlanta,89,9/30/98,,,1120,13089023700,13089023700,13089023700,13089023700,,,13003,33.7313084,-84.3183573,,,45077,1038273,1,90,Public Entity,48,701 Hillside Village Dr SE,VILLAGES OF EASTLAKE I,Active,1236,,,13,GA,471,,,,91,913,23700,Census Tract 237,,30317-3179
96,100,74,87,22,89,93,21,55,56,2,Atlanta,89,1/1/13,,,1120,13089023700,13089023700,13089023700,13089023700,20,800241875,13003,33.7313084,-84.3183573,,60,45077,1039003,1,,Non-Profit,,2229 Flat Shoals Rd SE,COLUMBIA MILL APARTMENTS,Active,1236,,,13,GA,471,,,14,100,913,23700,Census Tract 237,30,30316
96,100,74,87,22,89,93,21,55,,1,Decatur,89,1/1/99,,,1120,13089023700,13089023700,13089023700,13089023700,,,13003,33.7313084,-84.3183573,,100,45077,1038736,1,,For Profit,,100 Jessica Ave,COLUMBIA VILLAGE TOWNHOMES,Active,1236,,,13,GA,471,,,,100,913,23700,Census Tract 237,,30032-7412
96,100,74,87,22,89,93,21,55,,1,Atlanta,89,1/1/95,,,1120,13089023700,13089023700,13089023700,13089023700,,,13003,33.7313084,-84.3183573,,176,45077,1038294,1,,Non-Profit,,2035 Memorial Dr SE,COURTYARDS AT GLENVIEW,Active,1236,,,13,GA,471,,,,172,913,23700,Census Tract 237,,30317-2521
96,100,74,87,22,89,93,21,55,0,2,Atlanta,89,3/1/72,,,1120,13089023700,13089023700,13089023700,13089023700,,800004728,13003,33.7313084,-84.3183573,,250,45077,1037859,1,99,Multiple,84,2051 Flat Shoals Rd SE,HIGHLANDS @ EAST ATLANTA,Active,1236,,250,13,GA,471,,Family,70,250,913,23700,Census Tract 237,180,30316-3002
-4,-4,-4,-4,-4,-4,-4,-4,-4,,1,Atlanta,89,1/1/05,,,1120,13089023801,13089023801,13089023801,13089023801,,,-4,33.7174077,-84.3384079,,,69036,1038832,1,,For Profit,,2115 Vineyard Walk SE,VINEYARDS OF FLATSHOALS,Active,273,,,13,GA,7,,,,228,261,23801,Census Tract 238.01,,30316-6919
-4,-4,-4,-4,-4,-4,-4,-4,-4,44,3,Atlanta,89,1/1/16,,,1120,13089023801,13089023801,13089023801,13089023801,7,800244506,-4,33.7174077,-84.3384079,,0,69036,1018453,1,97,Profit Motivated,71,695 Field St SE,REYNOLDSTOWN SENIOR RESIDENCES,Active,273,,44,13,GA,7,,,0,70,261,23801,Census Tract 238.01,0,30316-1264
89,100,88,90,35,77,98,7,14,12,2,Atlanta,89,1/1/96,,,1120,13089023802,13089023802,13089023802,13089023802,,,9757,33.6940064,-84.3356621,78,78,41276,1038345,1,,For Profit,,2000 Bouldercrest Rd SE,EAGLES RUN I,Active,727,,,13,GA,188,,,18,204,595,23802,Census Tract 238.02,48,30316-3925
89,100,88,90,35,77,98,7,14,30,1,Atlanta,89,11/1/75,,,1120,13089023802,13089023802,13089023802,13089023802,,800004895,9757,33.6940064,-84.3356621,,,41276,1017268,1,88,Profit Motivated,89,1504 Bouldercrest Rd SE,PARADISE EAST APARTMENTS,Active,727,,160,13,GA,188,,Family,0,176,595,23802,Census Tract 238.02,144,30316-4042
93,99,79,76,9,35,100,48,71,,1,Atlanta,121,7/31/75,,,1660,13121000500,13121000500,13121000500,13121000500,,,12964,33.7961563,-84.3853669,,,85750,1038262,1,97,Public Entity,81,1422 Piedmont Ave NE,WESTMINSTER,Active,675,,,13,GA,42,,,0,32,593,500,Census Tract 5,,30309-2776
-4,-4,-4,-4,-4,-4,-4,-4,-4,17,1,Atlanta,121,1/1/06,,,1106,13121000600,13121000600,13121000600,13121000600,,,-4,33.7853862,-84.4056539,,103,50969,1038042,1,,Non-Profit,,441 16th St NW,ATLANTIC STATION MIXED INCOME,Active,1047,,,13,GA,14,,Family,16,130,689,600,Census Tract 6,97,30363-1013
78,93,81,50,6,29,99,90,84,149,1,Atlanta,121,7/31/74,,,1660,13121001100,13121001100,13121001100,13121001100,,,12162,33.7841633,-84.3830169,,,99205,1038261,1,,Public Entity,,150 10th St NE,JUNIPER & 10TH,Active,428,,,13,GA,195,,,0,149,319,1100,Census Tract 11,0,30309-4021
98,100,74,64,12,31,99,100,2,16,2,Atlanta,121,9/1/16,,185,1530,13121001201,13121001201,13121001201,13121001201,,800244481,13088,33.7763742,-84.3803049,,,58603,1002215,1,,Profit Motivated,,248 Merritts Ave NE,CENTENNIAL PLACE PHASE 2,Active,1259,,16,13,GA,197,,Family,0,185,917,1201,Census Tract 12.01,0,30308
98,100,74,64,12,31,99,100,2,202,2,Atlanta,121,2/1/73,,205,1530,13121001201,13121001201,13121001201,13121001201,,800004842,13088,33.7763742,-84.3803049,,,58603,1038108,1,98,Non-Profit,74,727 Juniper St NE,LUTHERAN TOWERS,Active,1259,,202,13,GA,197,,Elderly,,205,917,1201,Census Tract 12.01,,30308-1343
96,100,86,41,13,22,98,91,38,,1,Atlanta,121,1/1/91,,,1330,13121001500,13121001500,13121001500,13121001500,,,11351,33.7764812,-84.3539881,,61,63464,1038176,1,,For Profit,,963 Ponce de Leon Ave NE,BIENVENUE PLACE,Active,1129,,,13,GA,313,,,,61,850,1500,Census Tract 15,,30306-4254
96,100,86,41,13,22,98,91,38,175,3,Atlanta,121,1/1/96,,201,1330,13121001500,13121001500,13121001500,13121001500,,800004605,11351,33.7764812,-84.3539881,,200,63464,1106338,1,97,Profit Motivated,88,1050 Ponce de Leon Ave NE,BRIARCLIFF SUMMIT APARTMENTS,Active,1129,,200,13,GA,313,,Elderly,0,201,850,1500,Census Tract 15,26,30306-4230
96,100,86,41,13,22,98,91,38,99,2,Atlanta,121,4/1/06,,100,1330,13121001500,13121001500,13121001500,13121001500,,800005065,11351,33.7764812,-84.3539881,,,63464,1037929,1,95,Non-Profit,83,1125 Ponce de Leon Ave NE,BOOTH RESIDENCE INC,Active,1129,,99,13,GA,313,,Elderly,0,100,850,1500,Census Tract 15,0,30306-4546
88,94,82,88,8,22,100,-1,-1,51,1,Atlanta,121,1/1/96,,,1310,13121001600,13121001600,13121001600,13121001600,,,9258,33.7664826,-84.3570224,,17,66806,1038425,1,,For Profit,,828 Ralph McGill Blvd NE,MCGILL LOFT APARTMENTS,Active,457,,,13,GA,21,,,,65,393,1600,Census Tract 16,14,30306-4349
90,100,85,85,14,75,98,6,8,,1,Atlanta,121,2/27/13,,,1530,13121001700,13121001700,13121001700,13121001700,4,,9806,33.7659024,-84.3671952,,,60069,1011704,1,,,,516 Boulevard Pl NE,,Active,858,,,13,GA,554,,,,4,682,1700,Census Tract 17,,30308-2804
90,100,85,85,14,75,98,6,8,,2,Atlanta,121,12/29/10,,,1530,13121001700,13121001700,13121001700,13121001700,2,,9806,33.7659024,-84.3671952,,,60069,1008582,1,,,,520 Boulevard NE,BEACON OF HOPE 520 BLVD APARTMENTS,Active,858,,,13,GA,554,,,,2,682,1700,Census Tract 17,,30308-2750
90,100,85,85,14,75,98,6,8,80,5,Atlanta,121,1/1/16,,80,1530,13121001700,13121001700,13121001700,13121001700,40,800240780,9806,33.7659024,-84.3671952,,0,60069,1002219,1,99,Profit Motivated,81,420 Boulevard NE,CITY LIGHTS I,Active,858,,80,13,GA,554,,Elderly,0,80,682,1700,Census Tract 17,0,30308-2639
90,100,85,85,14,75,98,6,8,105,6,Atlanta,121,6/1/77,,,1530,13121001700,13121001700,13121001700,13121001700,,800004968,9806,33.7659024,-84.3671952,,,60069,1015030,1,86,Multiple,89,496 Boulevard NE,BEDFORD PINE APARTMENTS VI,Active,858,,77,13,GA,554,,Family,21,151,682,1700,Census Tract 17,90,30308-2664
92,97,86,46,33,63,98,76,43,,1,Atlanta,121,11/30/72,,,1530,13121001800,13121001800,13121001800,13121001800,,,11727,33.7663445,-84.3780718,,,42159,1038256,1,100,Public Entity,89,355 North Ave NE,COSBY SPEAR HIGHRISE,Active,1903,,,13,GA,482,,,0,282,1276,1800,Census Tract 18,,30308-2542
92,97,86,46,33,63,98,76,43,142,2,Atlanta,121,9/1/82,,210,1530,13121001800,13121001800,13121001800,13121001800,,800004626,11727,33.7663445,-84.3780718,,,42159,1037808,1,81,Profit Motivated,83,400 Ralph McGill Blvd NE,MAGGIE RUSSELL TOWER,Active,1903,,150,13,GA,482,,Elderly,,210,1276,1800,Census Tract 18,8,30312-1229
78,93,72,30,31,58,93,61,73,,1,Atlanta,121,5/8/15,,,1050,13121001900,13121001900,13121001900,13121001900,45,,13179,33.7661809,-84.3873376,,,62222,1039007,1,,For Profit,,355 Peachtree Center Ave NE,,Active,489,,,13,GA,247,,,,45,401,1900,Census Tract 19,,30303
78,93,72,30,31,58,93,61,73,,1,ATLANTA,121,9/30/00,,195,1050,13121001900,13121001900,13121001900,13121001900,,800209672,13179,33.7661809,-84.3873376,,,62222,1039088,1,,Public Entity,,130 HUNNICUTT ST NW,CENTENNIAL PLACE PHASE IV,Active,489,,,13,GA,247,,,,195,401,1900,Census Tract 19,,30313
78,93,72,30,31,58,93,61,73,0,2,Atlanta,121,6/23/98,,,1050,13121001900,13121001900,13121001900,13121001900,,,13179,33.7661809,-84.3873376,45,45,62222,1107126,1,,,,355 Peachtree St NE,IMPERIAL HOTEL,Active,489,,,13,GA,247,,,0,90,401,1900,Census Tract 19,0,30308-3256
78,93,72,30,31,58,93,61,73,0,4,Atlanta,121,1/1/98,,181,1050,13121001900,13121001900,13121001900,13121001900,,800036825,13179,33.7661809,-84.3873376,0,0,62222,1038598,1,,,,526 Centennial Olympic Park Dr NW,CENTENIAL PLACE I,Active,489,,,13,GA,247,,Family,0,186,401,1900,Census Tract 19,0,30313-2359
78,93,72,30,31,58,93,61,73,,1,Atlanta,121,6/30/54,,,1050,13121001900,13121001900,13121001900,13121001900,,,13179,33.7661809,-84.3873376,,108,62222,1038391,1,,Public Entity,,114 Merritts Ave NW,LEGACY PARTNERSHIP II,Active,489,,,13,GA,247,,,,179,401,1900,Census Tract 19,,30313
78,93,72,30,31,58,93,61,73,,1,Atlanta,121,1/1/96,,,1050,13121001900,13121001900,13121001900,13121001900,,,13179,33.7661809,-84.3873376,,,62222,1039084,1,,Public Entity,,155 Hunnicutt St NW Unit 101,CENTENNIAL PLACE I,Active,489,,,13,GA,247,,,,181,401,1900,Census Tract 19,,30313-4512
78,93,49,64,47,79,91,21,58,30,3,Atlanta,121,1/1/95,,177,1050,13121002100,13121002100,13121002100,13121002100,,800036836,18805,33.7655158,-84.3948076,0,168,51250,1038565,1,,Multiple,,583 McAfee St NW,CENTENNIAL PLACE PHASE II,Active,464,,,13,GA,241,,Family,30,177,353,2100,Census Tract 21,58,30313-3813
86,98,71,57,33,98,95,31,71,,1,Atlanta,121,10/19/12,,,990,13121002500,13121002500,13121002500,13121002500,12,,14757,33.7590744,-84.4126613,,,26066,1039232,1,,,,868 Rock St NW,ROCK STREET REVITALIZATION,Active,719,,,13,GA,252,,,,12,596,2500,Census Tract 25,,30314
86,98,71,57,33,98,95,31,71,,1,Atlanta,121,9/22/15,,,990,13121002500,13121002500,13121002500,13121002500,28,,14757,33.7590744,-84.4126613,,,26066,1127390,1,,,,871 Rock St NW,QUEST VILLAGES III,Active,719,,,13,GA,252,,,,28,596,2500,Census Tract 25,,30314-3378
86,98,71,57,33,98,95,31,71,0,3,Atlanta,121,1/1/00,,180,990,13121002500,13121002500,13121002500,13121002500,,800220856,14757,33.7590744,-84.4126613,,0,26066,1038276,1,93,Public Entity,67,60 Paschal Blvd NW,MAGNOLIA PARK APARTMENTS,Active,719,,,13,GA,252,,,0,220,596,2500,Census Tract 25,0,30314-5027
86,98,71,57,33,98,95,31,71,64,1,ATLANTA,121,1/1/00,,,990,13121002500,13121002500,13121002500,13121002500,,,14757,33.7590744,-84.4126613,,132,26066,1107578,1,,,,821 PLAY LN NW,MAGNOLIA PARK APARTMENTS (ATLANTA),Active,719,,,13,GA,252,,,52,220,596,2500,Census Tract 25,104,
79,94,56,79,48,98,92,24,67,64,1,Atlanta,121,1/1/97,,,990,13121002600,13121002600,13121002600,13121002600,,,18123,33.7587937,-84.4026285,,108,26350,1038389,1,,For Profit,,528 Lovejoy St NW,LEGACY PARTNERSHIP I,Active,554,,,13,GA,197,,,31,180,429,2600,Census Tract 26,86,30313
79,94,56,79,48,98,92,24,67,,1,Atlanta,121,1/1/93,,,990,13121002600,13121002600,13121002600,13121002600,,,18123,33.7587937,-84.4026285,,72,26350,1038236,1,,,,55 Maple St NW,COURTYARD AT MAPLE,Active,554,,,13,GA,197,,,,182,429,2600,Census Tract 26,,30314-4753
79,94,56,79,48,98,92,24,67,97,2,Atlanta,121,3/24/81,,,990,13121002600,13121002600,13121002600,13121002600,,800004765,18123,33.7587937,-84.4026285,,,26350,1037987,1,97,Non-profit,90,35 Northside Dr SW,FRIENDSHIP TOWERS,Active,554,,102,13,GA,197,102,Elderly,0,102,429,2600,Census Tract 26,5,30313-1436
64,100,82,45,33,70,97,17,8,,1,Atlanta,121,1/20/09,,,1090,13121002800,13121002800,13121002800,13121002800,2,,11373,33.758087,-84.379399,,,26059,1039214,1,,,,371 Irwin St NE,,Active,1121,,,13,GA,396,,,,2,791,2800,Census Tract 28,,30312
64,100,82,45,33,70,97,17,8,0,2,Atlanta,121,1/1/10,,,1090,13121002800,13121002800,13121002800,13121002800,,,11373,33.758087,-84.379399,154,0,26059,1038583,1,,For Profit,,357 Auburn Pointe Dr SE,ASHLEY AURBURN POINTE I / OAKS,Active,1121,,,13,GA,396,,,0,154,791,2800,Census Tract 28,0,30312-1723
64,100,82,45,33,70,97,17,8,105,2,Atlanta,121,5/1/73,,180,1090,13121002800,13121002800,13121002800,13121002800,,800004630,11373,33.758087,-84.379399,,,26059,1014980,1,83,Non-Profit,76,210 Auburn Ave NE,BIG BETHEL TOWER,Active,1121,,180,13,GA,396,,Family,0,182,791,2800,Census Tract 28,75,30303-2610
64,100,82,45,33,70,97,17,8,210,2,Atlanta,121,1/1/74,,208,1090,13121002800,13121002800,13121002800,13121002800,,800242636,11373,33.758087,-84.379399,,,26059,1014992,1,60,Profit Motivated,94,375 Auburn Ave NE,WHEAT STREET TOWERS,Active,1121,,210,13,GA,396,,Elderly,0,210,791,2800,Census Tract 28,0,30312-1517
-4,-4,-4,-4,-4,-4,-4,-4,-4,,1,Atlanta,121,12/8/09,,,1290,13121002900,13121002900,13121002900,13121002900,22,,-4,33.7580053,-84.3693491,,,63112,1039222,1,,,,659 Auburn Ave NE,AUBURN AVENUE WAREHOUSE,Active,443,,,13,GA,7,,,,112,378,2900,Census Tract 29,,30312
-4,-4,-4,-4,-4,-4,-4,-4,-4,,1,Atlanta,121,6/26/17,,,1290,13121002900,13121002900,13121002900,13121002900,3,,-4,33.7580053,-84.3693491,,,63112,1127387,1,,,,610 Irwin St NE,,Active,443,,,13,GA,7,,,,3,378,2900,Census Tract 29,,30312-1684
-4,-4,-4,-4,-4,-4,-4,-4,-4,44,1,Atlanta,121,1/1/99,,,1290,13121002900,13121002900,13121002900,13121002900,,,-4,33.7580053,-84.3693491,,57,63112,1038457,1,,Non-Profit,,514 Irwin St NE,IRWIN STREET APTS/HENDERSON PLACE/PRI,Active,443,,,13,GA,7,,,,58,378,2900,Census Tract 29,14,30312
-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,Atlanta,121,1/1/97,,,1290,13121002900,13121002900,13121002900,13121002900,,,-4,33.7580053,-84.3693491,,57,63112,1038387,1,,Non-Profit,,131 Grape St NE,PRI/HENDERSON PLACE,Active,443,,,13,GA,7,,,0,58,378,2900,Census Tract 29,0,30312-1682
78,93,44,76,15,55,94,33,77,,3,Atlanta,121,12/27/05,,,1120,13121003100,13121003100,13121003100,13121003100,32,,18096,33.7520808,-84.3530446,,32,46467,1038526,1,,For Profit,,1124 Wylie St SE,REYNOLDS TOWN COMMONS,Active,346,,,13,GA,46,,,,32,333,3100,Census Tract 31,,30316-1335
78,93,44,76,15,55,94,33,77,,1,Atlanta,121,1/1/94,,,1120,13121003100,13121003100,13121003100,13121003100,,,18096,33.7520808,-84.3530446,,30,46467,1038246,1,,Non-Profit,,180 Flat Shoals Ave SE,AMBERWOOD VILLAGE,Active,346,,,13,GA,46,,,,30,333,3100,Census Tract 31,,30316-1475
94,98,72,79,5,29,100,-1,11,,2,Atlanta,121,1/1/07,,269,1120,13121003200,13121003200,13121003200,13121003200,,800239733,13275,33.7498233,-84.3650959,,,84350,1102621,1,,,,89 Memorial Dr SE,CAPITOL GATEWAY APARTMENTS PHA,Active,159,,,13,GA,51,,Family,,269,159,3200,Census Tract 32,,30312
94,98,72,79,5,29,100,-1,11,,2,Atlanta,121,1/1/97,,206,1120,13121003200,13121003200,13121003200,13121003200,,800036823,13275,33.7498233,-84.3650959,,,84350,1106928,1,,,,170 BLVD SE,FULTON COTTON MILL RESIDENTIAL,Active,159,,,13,GA,51,,Family,,207,159,3200,Census Tract 32,,30312-2325
-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,Atlanta,121,2/21/06,,,1090,13121003500,13121003500,13121003500,13121003500,12,,-1,33.7509444,-84.3916567,,,55585,1008847,1,,,,141 Pryor St SW Ste 8054,CHDO-LAND ACQUISITION-CHRISTIAN CITY INC,Active,205,,,13,GA,-1,,,,12,161,3500,Census Tract 35,,30303-3466
-1,-1,-1,-1,-1,-1,-1,-1,-1,69,1,Atlanta,121,1/1/98,,,1090,13121003500,13121003500,13121003500,13121003500,,,-1,33.7509444,-84.3916567,,34,55585,1038415,1,,For Profit,,133 Trinity Ave SW,CITY PLAZA APARTMENTS,Active,205,,,13,GA,-1,,,,164,161,3500,Census Tract 35,95,30303-3666
90,96,82,42,24,93,99,43,16,,1,Atlanta,121,1/1/92,,,990,13121003600,13121003600,13121003600,13121003600,,,12093,33.7518731,-84.4029233,,26,41372,1038590,1,,For Profit,,440 Markham St SW,NORTHSIDE PLAZA,Active,556,,,13,GA,172,,,,127,418,3600,Census Tract 36,,30313-1408
-4,-4,-4,-4,-4,-4,-4,-4,-4,,1,Atlanta,121,3/6/12,,,990,13121003800,13121003800,13121003800,13121003800,1,,-4,33.7508286,-84.412023,,,22150,1039228,1,,,,830 Westview Dr SW,1011 CAMILLA STREET,Active,130,,,13,GA,4,,,,1,83,3800,Census Tract 38,,30314
85,96,67,89,41,98,90,26,85,,1,Atlanta,121,8/16/13,,,990,13121003900,13121003900,13121003900,13121003900,1,,17418,33.7500701,-84.4221427,,,36174,1039226,1,,,,79 Newcastle St SW,UCDC,Active,486,,,13,GA,186,,,,1,393,3900,Census Tract 39,,30314
85,96,67,89,41,98,90,26,85,,5,Atlanta,121,7/26/11,,,990,13121003900,13121003900,13121003900,13121003900,1,,17418,33.7500701,-84.4221427,,,36174,1039192,1,,,,1003 Camilla St SW,MOREHOUSE COLLEGE,Active,486,,,13,GA,186,,,,1,393,3900,Census Tract 39,,30314
85,96,67,89,41,98,90,26,85,,1,Atlanta,121,12/31/10,,,990,13121003900,13121003900,13121003900,13121003900,,,17418,33.7500701,-84.4221427,,,36174,1039102,1,97,Public Entity,59,965 Sells Ave SW,ASHLEY II AT COLLEGETOWN/ASHCOLL 2HARRV,Active,486,,,13,GA,186,,,,70,393,3900,Census Tract 39,,30310
85,96,67,89,41,98,90,26,85,,1,Atlanta,121,10/1/68,,,990,13121003900,13121003900,13121003900,13121003900,,,17418,33.7500701,-84.4221427,,94,36174,1038129,1,,For Profit,,1017 Westview Dr SW,COLUMBIA PLAZA APARTMENTS,Active,486,,,13,GA,186,,,,94,393,3900,Census Tract 39,,30310-5400
82,97,63,90,35,98,91,31,19,,1,Atlanta,121,11/19/13,,,990,13121004000,13121004000,13121004000,13121004000,12,,17746,33.7499716,-84.4362262,,,28191,1039202,1,,,,1437 Lucile Ave SW,,Active,622,,,13,GA,234,,,,12,433,4000,Census Tract 40,,30310
